10991506;DM Implantável Ativo (DMIA);Medtronic Inc. ;P1501-DR;ENRHYTHM;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991514;DM Implantável Ativo (DMIA);Medtronic Inc. ;7288;INTRINSIC;Medtronic;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991522;DM Implantável Ativo (DMIA);Boston Scientific Corporation;T167;T167;VITALITY 2;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991530;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H230;CONTAK RENEWAL 4 RF;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991549;DM Implantável Ativo (DMIA);Boston Scientific Corporation;0176;FLEXTEND;GUIDANT;Electrocateteres permanentes para estimulação e desfibrilação no ventrículo direito - outros (J019001020199);Dispositivos estéreis que são uma miscelânea de electrocateteres permanentes para estimulação e desfibrilhação no ventrículo direito que não têm colocação em ramos terminais específicos. Os dispositivos descritos são de uso único.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991620;DM Implantável Ativo (DMIA);Medtronic Inc. ;ADVDD01;ADAPTA® ADVDD01;Medtronic;Pacemaker de cateter único VDDR com sensor (J01010202);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. São constituídos por um só electrocateter tripolar que permite detectar a actividade na auricula direita(função de sensing ) e detectar e estimular a actividade do ventriculo direito (função de sensing e pacing). A função de pacing ventricular é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991638;DM Implantável Ativo (DMIA);Medtronic Inc. ;VEDR01;VERSA;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991662;DM Implantável Ativo (DMIA);Medtronic Inc. ;6947M97;Sprint Quattro Secure;Medtronic;Electrocateteres permanentes para desfibrilhadores de dupla espiral (J019001020102);"Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um desfibrilhador implantável de dupla espiral à cavidade interna do ventrículo direito. Transmitem ao coração um impulso de reversão proveniente do desfibrilhador e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrodos podem ter um sistema de fixação passiva (caracterizada pela presença de apêndices isolantes, denominados ""barbas"", colocados nas laterais do eléctrodo distal) ou activa (caracterizado por um sistema de âncora tipo parafuso). Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991719;DM Implantável Ativo (DMIA);Medtronic Inc. ;6947-65;Sprint Quattro Secure;Medtronic;Electrocateteres permanentes para desfibrilhadores de dupla espiral (J019001020102);"Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um desfibrilhador implantável de dupla espiral à cavidade interna do ventrículo direito. Transmitem ao coração um impulso de reversão proveniente do desfibrilhador e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrodos podem ter um sistema de fixação passiva (caracterizada pela presença de apêndices isolantes, denominados ""barbas"", colocados nas laterais do eléctrodo distal) ou activa (caracterizado por um sistema de âncora tipo parafuso). Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991727;DM Implantável Ativo (DMIA);Medtronic Inc. ;6947-58;Sprint Quattro Secure;Medtronic;Electrocateteres permanentes para desfibrilhadores de dupla espiral (J019001020102);"Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um desfibrilhador implantável de dupla espiral à cavidade interna do ventrículo direito. Transmitem ao coração um impulso de reversão proveniente do desfibrilhador e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrodos podem ter um sistema de fixação passiva (caracterizada pela presença de apêndices isolantes, denominados ""barbas"", colocados nas laterais do eléctrodo distal) ou activa (caracterizado por um sistema de âncora tipo parafuso). Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991743;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;341822;Philos II SLR;BIOTRONIK;Pacemaker de cateter único VDDR com sensor (J01010202);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. São constituídos por um só electrocateter tripolar que permite detectar a actividade na auricula direita(função de sensing ) e detectar e estimular a actividade do ventriculo direito (função de sensing e pacing). A função de pacing ventricular é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;CEM BIOTRONIK S.A.
10991751;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F102;F102;TELIGEN 100;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991760;DM Implantável Ativo (DMIA);Boston Scientific Corporation;0175;FLEXTEND;GUIDANT;Electrocateteres permanentes para estimulação e desfibrilação no ventrículo direito - outros (J019001020199);Dispositivos estéreis que são uma miscelânea de electrocateteres permanentes para estimulação e desfibrilhação no ventrículo direito que não têm colocação em ramos terminais específicos. Os dispositivos descritos são de uso único.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10991824;DM Implantável Ativo (DMIA);Medtronic Inc. ;5076-65;CapsureFix Novus MRI;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991840;DM Implantável Ativo (DMIA);Medtronic Inc. ;5076-52;CapsureFix Novus MRI;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10991859;DM Implantável Ativo (DMIA);Medtronic Inc. ;5076-45;CapsureFix Novus MRI;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
